Time Stamp,ID,Extended,Dir,Bus,DLC,D0,D1,D2,D3,D4,D5,D6,D7
0,B4,FALSE,Rx,0,8,2F,0A,0,0,7D,0,F0,2
2,150,FALSE,Rx,0,8,CF,0A,93,0,0,0,0,E0
4,B5,FALSE,Rx,0,8,0C,0A,80,0,8,30,20,73
6,BA,FALSE,Rx,0,8,5,FF,3F,0,0,76,A7,CF
9,A8,FALSE,Rx,0,8,D2,56,1,51,1,0F,0F,62
11,B6,FALSE,Rx,0,5,8,8,80,0,C8,,,
12,194,FALSE,Rx,0,4,EE,F1,0,FC,,,,
14,B5,FALSE,Rx,0,8,0D,0B,80,0,8,30,20,73
16,A8,FALSE,Rx,0,8,D3,57,1,51,1,0F,0F,62
18,AA,FALSE,Rx,0,8,7D,67,1,0,C8,0D,80,14
20,C4,FALSE,Rx,0,7,4E,8,FC,0,0,FF,F1,
22,150,FALSE,Rx,0,8,D0,0B,93,0,0,0,0,E0
25,1A2,FALSE,Rx,0,8,4D,18,0,8F,D0,7,C0,31
27,153,FALSE,Rx,0,7,64,0B,DA,7,80,DA,C7,
29,A9,FALSE,Rx,0,8,A8,0B,B0,CF,0E,14,50,1
31,B5,FALSE,Rx,0,8,0E,0C,80,0,8,30,20,73
33,1B4,FALSE,Rx,0,8,0,D0,E0,F8,0,30,FC,8D
35,A8,FALSE,Rx,0,8,D5,59,1,51,1,0F,0F,62
38,AA,FALSE,Rx,0,8,9B,69,1,0,E4,0D,80,14
41,C4,FALSE,Rx,0,7,4E,8,FC,0,0,FF,F1,
42,150,FALSE,Rx,0,8,D1,0C,93,0,0,0,0,E0
45,1A2,FALSE,Rx,0,8,6D,18,0,9F,D0,7,C0,61
47,153,FALSE,Rx,0,7,65,0C,DA,7,80,DA,C7,
49,A8,FALSE,Rx,0,8,B6,4A,1,41,1,0F,0F,62
51,C4,FALSE,Rx,0,7,4E,8,FC,0,0,FF,F1,
53,B5,FALSE,Rx,0,8,10,0E,80,0,8,30,20,73
55,A8,FALSE,Rx,0,8,B7,4B,1,41,1,0F,0F,62
57,AA,FALSE,Rx,0,8,83,5B,1,0,DA,0D,80,14
59,B4,FALSE,Rx,0,8,32,0D,0,0,7D,0,F0,2
62,BA,FALSE,Rx,0,8,5,FF,3F,0,0,79,AA,CF
64,153,FALSE,Rx,0,7,66,0D,DA,7,80,DA,C7,
66,BF,FALSE,Rx,0,5,8D,0D,FF,FF,C0,,,
67,B5,FALSE,Rx,0,8,2,0,80,0,8,30,20,73
70,B6,FALSE,Rx,0,5,0B,0B,80,0,C8,,,
71,2B2,FALSE,Rx,0,8,0B,0B,0C,0C,10,0,0,4
75,A8,FALSE,Rx,0,8,B9,4D,1,41,1,0F,0F,62
76,AA,FALSE,Rx,0,8,95,6D,1,0,DA,0D,80,14
78,B4,FALSE,Rx,0,8,33,0E,0,0,7D,0,F0,2
81,C4,FALSE,Rx,0,7,4E,8,FC,0,0,FF,F1,
83,150,FALSE,Rx,0,8,D3,0E,93,0,0,0,0,E0
85,193,FALSE,Rx,0,8,18,FE,FC,1,F8,50,0,0
87,153,FALSE,Rx,0,7,67,0E,DA,7,80,DA,C7,
89,A8,FALSE,Rx,0,8,BA,4E,1,41,1,0F,0F,62
91,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
93,B5,FALSE,Rx,0,8,4,2,80,0,8,30,20,73
96,A8,FALSE,Rx,0,8,AC,40,1,41,1,0F,0F,62
98,AA,FALSE,Rx,0,8,80,60,1,0,D2,0D,80,14
100,2F3,FALSE,Rx,0,3,2,FC,F4,,,,,
101,150,FALSE,Rx,0,8,C5,0,93,0,0,0,0,E0
103,B5,FALSE,Rx,0,8,5,3,80,0,8,30,20,73
106,153,FALSE,Rx,0,7,59,0,DA,7,80,DA,C7,
108,A8,FALSE,Rx,0,8,0E,71,1,71,1,0F,0F,62
110,B6,FALSE,Rx,0,5,0D,0D,80,0,C8,,,
114,B5,FALSE,Rx,0,8,6,4,80,0,8,30,20,73
115,A8,FALSE,Rx,0,8,0F,72,1,71,1,0F,0F,62
116,AA,FALSE,Rx,0,8,92,72,1,0,D2,0D,80,14
118,B4,FALSE,Rx,0,8,26,1,0,0,7D,0,F0,2
120,C4,FALSE,Rx,0,7,4E,8,FC,0,0,FF,F1,
123,150,FALSE,Rx,0,8,C6,1,93,0,0,0,0,E0
125,130,FALSE,Rx,0,5,45,42,21,8F,34,,,
127,153,FALSE,Rx,0,7,5A,1,DA,7,80,DA,C7,
129,A8,FALSE,Rx,0,8,10,73,1,71,1,0F,0F,62
131,C4,FALSE,Rx,0,7,4E,8,FC,0,0,FF,F1,
133,1B4,FALSE,Rx,0,8,0,D0,E0,F9,0,30,FC,8E
135,BA,FALSE,Rx,0,8,5,FF,3F,0,0,7D,AE,CF
137,1A2,FALSE,Rx,0,8,4B,18,0,EF,D0,7,C0,8F
139,B4,FALSE,Rx,0,8,27,2,0,0,7D,0,F0,2
142,150,FALSE,Rx,0,8,C7,2,93,0,0,0,0,E0
144,153,FALSE,Rx,0,7,5B,2,DA,7,80,DA,C7,
146,BF,FALSE,Rx,0,5,82,2,FF,FF,C0,,,
147,A8,FALSE,Rx,0,8,32,85,1,81,1,0F,0F,62
150,B6,FALSE,Rx,0,5,FF,0,80,0,C8,,,
151,1A0,FALSE,Rx,0,8,0,80,0,60,FF,FE,0F,90
153,B5,FALSE,Rx,0,8,9,7,80,0,8,30,20,73
156,BA,FALSE,Rx,0,8,5,FF,3F,0,0,6F,A0,CF
158,A8,FALSE,Rx,0,8,33,86,1,81,1,0F,0F,62
160,C4,FALSE,Rx,0,7,4B,8,FC,0,0,FF,F1,
162,150,FALSE,Rx,0,8,C8,3,93,0,0,0,0,E0
164,153,FALSE,Rx,0,7,5C,3,DA,7,80,DA,C7,
167,BF,FALSE,Rx,0,5,83,3,FF,FF,C0,,,
169,A8,FALSE,Rx,0,8,34,87,1,81,1,0F,0F,62
171,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
173,BA,FALSE,Rx,0,8,5,FF,3F,0,0,70,A1,CF
175,1A2,FALSE,Rx,0,8,54,18,0,1F,D0,7,C0,C7
177,A8,FALSE,Rx,0,8,35,88,1,81,1,0F,0F,62
179,AA,FALSE,Rx,0,8,92,78,1,0,CC,0D,80,14
182,150,FALSE,Rx,0,8,C9,4,93,0,0,0,0,E0
184,153,FALSE,Rx,0,7,5D,4,DA,7,80,DA,C7,
186,BF,FALSE,Rx,0,5,84,4,FF,FF,C0,,,
187,A8,FALSE,Rx,0,8,36,89,1,81,1,0F,0F,62
190,B6,FALSE,Rx,0,5,2,2,80,0,C8,,,
191,19E,FALSE,Rx,0,8,0,E0,CF,FC,FF,41,9,97
193,B5,FALSE,Rx,0,8,0C,0A,80,0,8,30,20,73
196,A8,FALSE,Rx,0,8,37,8A,1,81,1,0F,0F,62
198,AA,FALSE,Rx,0,8,90,7A,1,0,C8,0D,80,14
200,C4,FALSE,Rx,0,7,4E,8,FC,E4,0,FF,F1,
202,150,FALSE,Rx,0,8,CA,5,93,0,0,0,0,E0
204,B5,FALSE,Rx,0,8,0D,0B,80,0,8,30,20,73
206,153,FALSE,Rx,0,7,5E,5,DA,7,80,DA,C7,
209,A8,FALSE,Rx,0,8,38,8B,1,81,1,0F,0F,62
211,CE,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
215,B5,FALSE,Rx,0,8,0E,0C,80,0,8,30,20,73
216,A8,FALSE,Rx,0,8,39,8C,1,81,1,0F,0F,62
218,AA,FALSE,Rx,0,8,92,7C,1,0,C8,0D,80,14
220,480,FALSE,Rx,0,8,12,42,FE,1,FF,FF,FF,FF
222,150,FALSE,Rx,0,8,CB,6,93,0,0,0,0,E0
224,130,FALSE,Rx,0,5,45,42,21,8F,45,,,
226,153,FALSE,Rx,0,7,5F,6,DA,7,80,DA,C7,
228,A8,FALSE,Rx,0,8,3A,8D,1,81,1,0F,0F,62
230,B6,FALSE,Rx,0,5,4,4,80,0,C8,,,
232,1A0,FALSE,Rx,0,8,0,80,0,50,FF,0,40,B2
234,1B4,FALSE,Rx,0,8,0,D0,E0,FA,0,30,FC,8F
236,A8,FALSE,Rx,0,8,3B,8E,1,81,1,0F,0F,62
238,AA,FALSE,Rx,0,8,90,8E,1,0,B4,0D,80,14
240,C4,FALSE,Rx,0,7,4B,8,FC,C8,FF,FF,F1,
