Time Stamp,ID,Extended,Dir,Bus,DLC,D0,D1,D2,D3,D4,D5,D6,D7
0,153,FALSE,Rx,0,7,6B,0E,DC,7,80,DC,C7,
2,B6,FALSE,Rx,0,5,9,9,80,0,C8,,,
3,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
5,19E,FALSE,Rx,0,8,0,E0,8F,FC,FF,0,0,0D
8,B5,FALSE,Rx,0,8,D7,7,80,0,8,30,10,52
10,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
12,A8,FALSE,Rx,0,8,93,E9,0,E0,0,0F,0F,2
15,AA,FALSE,Rx,0,8,C3,29,0,0,4E,0D,80,14
17,150,FALSE,Rx,0,8,C5,0,93,0,0,0,0,E0
19,1B4,FALSE,Rx,0,8,0,D0,E0,F0,4,32,FE,8D
21,B5,FALSE,Rx,0,8,D8,8,80,0,8,30,10,52
23,B6,FALSE,Rx,0,5,0A,0A,80,0,C8,,,
25,AC,FALSE,Rx,0,8,A4,FC,FF,FF,0,7D,0,7D
27,7DF,FALSE,Rx,0,8,2,1,5,0,0,0,0,0
30,B5,FALSE,Rx,0,8,D9,9,80,0,8,30,10,52
32,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
34,A8,FALSE,Rx,0,8,95,EB,0,E0,0,0F,0F,2
36,150,FALSE,Rx,0,8,C6,1,93,0,0,0,0,E0
38,153,FALSE,Rx,0,7,5E,1,DC,7,80,DC,C7,
40,BF,FALSE,Rx,0,5,81,1,FF,FF,C0,,,
42,B6,FALSE,Rx,0,5,0B,0B,80,0,C8,,,
43,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
45,E1,FALSE,Rx,0,6,59,FB,FF,FE,7C,0,,
50,C4,FALSE,Rx,0,7,7A,FF,FC,0,0,FF,F1,
51,A8,FALSE,Rx,0,8,B7,FD,0,F0,0,0F,0F,2
51,AA,FALSE,Rx,0,8,C1,2D,0,0,48,0D,80,14
53,B4,FALSE,Rx,0,8,33,0E,0,0,7D,0,F0,2
57,480,FALSE,Rx,0,8,12,42,FE,1,FF,FF,FF,FF
59,B5,FALSE,Rx,0,8,DB,0B,80,0,8,30,10,52
